Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=16800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2378
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=17600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2310
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=18200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1985
[23/Oct/2020 12:52:34] "GET /api/image_raw?step=19200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2078
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=20000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2197
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=20800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2078
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=21200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1950
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=21800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2162
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=22200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2256
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=22800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2317
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=23400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2065
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=23800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2019
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=24600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2249
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=25000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2132
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=25800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2276
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=26800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2106
[23/Oct/2020 12:52:35] "GET /api/image_raw?step=27600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2374
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=28000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1911
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=29000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2280
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=29400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2125
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=31000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2109
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=31400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2156
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=31600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2305
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=32000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2737
[23/Oct/2020 12:52:36] "GET /api/image_raw?step=32200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2068
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=32000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2737
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=30200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2159
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=29000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2280
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=28600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2366
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=28400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2606
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=27800&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2013
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=27600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2374
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=27000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2434
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=25400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2441
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=24000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2352
[23/Oct/2020 12:52:43] "GET /api/image_raw?step=22400&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2036
[23/Oct/2020 12:52:44] "GET /api/image_raw?step=20600&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2117
[23/Oct/2020 12:52:44] "GET /api/image_raw?step=19000&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 2260
